estado,ano,desigualdade
AC,2012,18.87
AC,2013,17.64
AC,2014,15.23
AC,2015,17.21
AC,2016,18.95
AC,2017,17.54
AC,2018,18.96
AC,2019,19.82
AL,2012,13.03
AL,2013,13.72
AL,2014,15.06
AL,2015,14.88
AL,2016,14.89
AL,2017,15.16
AL,2018,18.17
AL,2019,15.43
AM,2012,21.3
AM,2013,19.85
AM,2014,18.09
AM,2015,17.46
AM,2016,17.83
AM,2017,21.53
AM,2018,16.78
AM,2019,19.24
AP,2012,14.69
AP,2013,13.42
AP,2014,14.68
AP,2015,16.67
AP,2016,17.66
AP,2017,20.83
AP,2018,17.02
AP,2019,13.43
BA,2012,18.51
BA,2013,15.93
BA,2014,15.15
BA,2015,14.82
BA,2016,16.33
BA,2017,22.1
BA,2018,17.66
BA,2019,18.49
CE,2012,16.85
CE,2013,16.35
CE,2014,14.67
CE,2015,15.32
CE,2016,16.77
CE,2017,17.08
CE,2018,17.21
CE,2019,18.63
DF,2012,24.06
DF,2013,20.71
DF,2014,20.35
DF,2015,21.34
DF,2016,20.76
DF,2017,22.55
DF,2018,19.71
DF,2019,17.94
ES,2012,12.02
ES,2013,12.82
ES,2014,12.99
ES,2015,13.24
ES,2016,13.6
ES,2017,13.34
ES,2018,13.6
ES,2019,14.35
GO,2012,11.1
GO,2013,10.52
GO,2014,10.18
GO,2015,10.02
GO,2016,10.74
GO,2017,11.31
GO,2018,11.04
GO,2019,10.26
MA,2012,12.93
MA,2013,12.6
MA,2014,11.36
MA,2015,12.77
MA,2016,14.55
MA,2017,15.44
MA,2018,15.75
MA,2019,16.44
MG,2012,12.89
MG,2013,12.33
MG,2014,12.25
MG,2015,11.78
MG,2016,12.28
MG,2017,12.51
MG,2018,12.41
MG,2019,12.08
MS,2012,11.17
MS,2013,10.89
MS,2014,10.9
MS,2015,9.59
MS,2016,10.79
MS,2017,10.51
MS,2018,12.11
MS,2019,11.64
MT,2012,11.87
MT,2013,10.14
MT,2014,10.43
MT,2015,9.34
MT,2016,9.9
MT,2017,10.52
MT,2018,10.5
MT,2019,9.83
PA,2012,15.67
PA,2013,15.23
PA,2014,13.44
PA,2015,14.03
PA,2016,13.68
PA,2017,13.46
PA,2018,18.42
PA,2019,15.41
PB,2012,14.34
PB,2013,14.04
PB,2014,14.82
PB,2015,15.48
PB,2016,15.04
PB,2017,16.83
PB,2018,17.51
PB,2019,18.92
PE,2012,19.55
PE,2013,18.89
PE,2014,18.56
PE,2015,19
PE,2016,19.02
PE,2017,17.7
PE,2018,16.25
PE,2019,20.31
PI,2012,12.81
PI,2013,15.71
PI,2014,14.33
PI,2015,14.44
PI,2016,15.46
PI,2017,15.82
PI,2018,16.07
PI,2019,16.6
PR,2012,11.61
PR,2013,11.07
PR,2014,10.38
PR,2015,9.88
PR,2016,11.25
PR,2017,11.51
PR,2018,12.15
PR,2019,11.31
RJ,2012,14.98
RJ,2013,14.09
RJ,2014,13.58
RJ,2015,12.95
RJ,2016,14.73
RJ,2017,14.21
RJ,2018,16.43
RJ,2019,17.53
RN,2012,13.55
RN,2013,13.38
RN,2014,13.69
RN,2015,14.25
RN,2016,16.48
RN,2017,15.08
RN,2018,16.77
RN,2019,18.12
RO,2012,12.1
RO,2013,11.32
RO,2014,9.41
RO,2015,10.48
RO,2016,10.74
RO,2017,9.74
RO,2018,12.48
RO,2019,10.96
RR,2012,17.29
RR,2013,17.58
RR,2014,14.52
RR,2015,15.62
RR,2016,15.74
RR,2017,14.54
RR,2018,19.57
RR,2019,20.93
RS,2012,12.41
RS,2013,11.26
RS,2014,11.35
RS,2015,10.54
RS,2016,11.07
RS,2017,11.46
RS,2018,11.95
RS,2019,11.39
SC,2012,8.95
SC,2013,8.62
SC,2014,7.77
SC,2015,7.98
SC,2016,8.27
SC,2017,7.96
SC,2018,8.17
SC,2019,8.29
SE,2012,19.17
SE,2013,19.06
SE,2014,16.15
SE,2015,16.13
SE,2016,19.62
SE,2017,17.83
SE,2018,20.9
SE,2019,21.21
SP,2012,13.5
SP,2013,13.35
SP,2014,13.13
SP,2015,13.67
SP,2016,14.54
SP,2017,14.79
SP,2018,15.73
SP,2019,14.73
TO,2012,13.29
TO,2013,13.9
TO,2014,12.79
TO,2015,13.27
TO,2016,12.13
TO,2017,12.45
TO,2018,14.98
TO,2019,15.43
