sigla,ano,homicidios
AC,2012,208
AC,2013,234
AC,2014,232
AC,2015,217
AC,2016,363
AC,2017,516
AC,2018,409
AC,2019,325
AL,2012,2046
AL,2013,2148
AL,2014,2085
AL,2015,1748
AL,2016,1820
AL,2017,1813
AL,2018,1441
AL,2019,1115
AM,2012,1344
AM,2013,1191
AM,2014,1240
AM,2015,1472
AM,2016,1452
AM,2017,1674
AM,2018,1542
AM,2019,1592
AP,2012,253
AP,2013,225
AP,2014,256
AP,2015,293
AP,2016,381
AP,2017,383
AP,2018,426
AP,2019,361
BA,2012,6148
BA,2013,5694
BA,2014,6052
BA,2015,6012
BA,2016,7171
BA,2017,7487
BA,2018,6787
BA,2019,6118
CE,2012,3841
CE,2013,4473
CE,2014,4626
CE,2015,4163
CE,2016,3642
CE,2017,5433
CE,2018,4900
CE,2019,2417
DF,2012,954
DF,2013,837
DF,2014,843
DF,2015,742
DF,2016,760
DF,2017,610
DF,2018,530
DF,2019,480
ES,2012,1667
ES,2013,1622
ES,2014,1609
ES,2015,1450
ES,2016,1270
ES,2017,1521
ES,2018,1165
ES,2019,1043
GO,2012,2793
GO,2013,2975
GO,2014,2887
GO,2015,2997
GO,2016,3036
GO,2017,2901
GO,2018,2675
GO,2019,2253
MA,2012,1777
MA,2013,2163
MA,2014,2462
MA,2015,2438
MA,2016,2408
MA,2017,2180
MA,2018,1982
MA,2019,1704
MG,2012,4562
MG,2013,4717
MG,2014,4724
MG,2015,4532
MG,2016,4622
MG,2017,4299
MG,2018,3372
MG,2019,2893
MS,2012,683
MS,2013,630
MS,2014,700
MS,2015,634
MS,2016,671
MS,2017,659
MS,2018,572
MS,2019,491
MT,2012,1074
MT,2013,1158
MT,2014,1358
MT,2015,1203
MT,2016,1180
MT,2017,1102
MT,2018,989
MT,2019,895
PA,2012,3236
PA,2013,3405
PA,2014,3446
PA,2015,3675
PA,2016,4223
PA,2017,4575
PA,2018,4528
PA,2019,3405
PB,2012,1525
PB,2013,1551
PB,2014,1551
PB,2015,1522
PB,2016,1355
PB,2017,1341
PB,2018,1244
PB,2019,953
PE,2012,3327
PE,2013,3124
PE,2014,3358
PE,2015,3847
PE,2016,4447
PE,2017,5419
PE,2018,4190
PE,2019,3474
PI,2012,525
PI,2013,598
PI,2014,717
PI,2015,650
PI,2016,701
PI,2017,626
PI,2018,619
PI,2019,569
PR,2012,3489
PR,2013,2936
PR,2014,2980
PR,2015,2936
PR,2016,3080
PR,2017,2759
PR,2018,2443
PR,2019,2095
RJ,2012,4772
RJ,2013,5111
RJ,2014,5718
RJ,2015,5067
RJ,2016,6053
RJ,2017,6416
RJ,2018,6455
RJ,2019,3552
RN,2012,1124
RN,2013,1447
RN,2014,1602
RN,2015,1545
RN,2016,1854
RN,2017,2203
RN,2018,1825
RN,2019,1346
RO,2012,526
RO,2013,483
RO,2014,578
RO,2015,600
RO,2016,703
RO,2017,554
RO,2018,476
RO,2019,447
RR,2012,144
RR,2013,214
RR,2014,158
RR,2015,203
RR,2016,204
RR,2017,248
RR,2018,414
RR,2019,234
RS,2012,2382
RS,2013,2322
RS,2014,2724
RS,2015,2944
RS,2016,3225
RS,2017,3316
RS,2018,2699
RS,2019,2184
SC,2012,821
SC,2013,789
SC,2014,905
SC,2015,957
SC,2016,984
SC,2017,1066
SC,2018,843
SC,2019,767
SE,2012,879
SE,2013,965
SE,2014,1097
SE,2015,1303
SE,2016,1465
SE,2017,1313
SE,2018,1133
SE,2019,973
SP,2012,6566
SP,2013,6035
SP,2014,6185
SP,2015,5427
SP,2016,4870
SP,2017,4631
SP,2018,3727
SP,2019,3361
TO,2012,379
TO,2013,349
TO,2014,381
TO,2015,503
TO,2016,577
TO,2017,557
TO,2018,570
TO,2019,456
